lang_code,lesson_number,level,topic
nl,20,B2,"Зменшувальний суфікс -TJE/-JE додається до іменника і вимовляється приблизно як [tjə]/[jə]: huisje [ˈɦœysjə], kopje [ˈkɔpjə]."
nl,21,C1,"Перед R голосна вимовляється трохи довше і виразніше: kar [kɑr], deur [døːr], duur [dyːr]."
nl,22,C1,
nl,23,C1,
nl,24,C1,
nl,25,C1,
nl,26,C2,
nl,27,C2,
nl,28,C2,
nl,29,C2,
nl,30,C2,
ca,1,A1,"Базові голосні. У ненаголошеній позиції A та E переходять у нейтральний звук-шва [ə]: casa [ˈkazə], taula [ˈtawlə]."
ca,2,A1,
ca,3,A1,
ca,4,A1,
ca,5,A1,
ca,6,A2,"«Це трэнкада» (ç) завжди читається як глухий [s]: plaça [ˈplasə], braç [ˈbras]."
ca,7,A2,"C перед E, I читається як [s]; перед A, O, U — як [k]. G перед E, I читається як [ʒ] (у валенсійському варіанті частіше [dʒ]); перед A, O, U — як [g]."
ca,8,A2,"Перед E, I буква U не читається: QU → [k] (paquet [pəˈkɛt]), GU → [g] (guerra [ˈgɛrə]). З двома крапками (QÜ, GÜ) читається [kw]/[gw]: qüestió [kwəstiˈo]."
ca,9,A2,"NY читається як м'яке [ɲ] — аналог іспанського Ñ: bany [ˈbaɲ], Catalunya [kətəˈluɲə]."
ca,10,A2,LL дає м'який звук [ʎ]: lluna [ˈʎunə]. L·L (ела з крапкою) читається як подвоєне роздільне [l:] — обидва L вимовляються: col·legi [kulˈlɛʒi].
ca,11,B1,"TX читається як [tʃ]: cotxe [ˈkɔtʃə]. TG та TJ читаються як м'яке [dʒ]: platja [ˈpladʒə], metge [ˈmɛdʒə]."
ca,12,B1,"На кінці слова після голосної IG читається як [tʃ]: maig [ˈmatʃ], puig [ˈputʃ]."
ca,13,B1,"На початку слова X зазвичай читається як [ʃ]: xocolata [ʃukuˈlatə]. У середині/кінці слова — як [ks] або [gz]: text [ˈtɛks], exemple [əɡˈzɛmplə]."
ca,14,B1,"H — німа літера, ніколи не вимовляється: hola [ˈɔlə], home [ˈɔmə]."
ca,15,B1,"Голосні утворюють дифтонги: au [aw], eu [ɛw], ui [uj], oi [ɔj]."
ca,16,B2,"Значок наголосу (`, ´) вказує наголошений склад і відкритість голосної: è [ɛ] відкрите, é [e] закрите; ò [ɔ] відкрите, ó [o] закрите."
ca,17,B2,"Стечення приголосних PL, CL, TR, DR, FR, BR, GL вимовляються злито: classe [ˈklasə], treball [trəˈβaʎ]."
ca,18,B2,"Жіночий рід іменників і прикметників часто утворюється закінченням -A (ненаголошене [ə]): gat → gata, bo → bona."
ca,19,B2,"Множина іменників і прикметників зазвичай утворюється додаванням -S: gat → gats, casa → cases."
ca,20,B2,"У більшості Каталонії B і V вимовляються однаково — як [b] (бетасизм): vi [ˈbi], vaca [ˈbakə]. У валенсійському варіанті звук [v] зберігається окремо від [b]: vi [vi], vaca [ˈvakə]."
ca,21,C1,"У східнокаталанському варіанті кінцева -R в інфінітивах зазвичай не вимовляється: parlar [pərˈla], menjar [mənˈʒa]. У валенсійському варіанті -R здебільшого вимовляється: parlar [pərˈlar]."
ca,22,C1,
ca,23,C1,
ca,24,C1,
ca,25,C1,
ca,26,C2,
ca,27,C2,
ca,28,C2,
ca,29,C2,У валенсійському варіанті замість avui вживається hui [ˈuj].
ca,30,C2,
